r,gcd360,mod8,mod9,mod5,mod30,prime_capable,unit_order,mirror,square,cube,pow4,pow6,pow12,pow13,support_idempotent,support,regular,nilpotent
0,360,0,0,0,0,0,,0,0,0,0,0,0,0,0,empty,1,1
1,1,1,1,1,1,1,1,359,1,1,1,1,1,1,1,235,1,0
2,2,2,2,2,2,0,,358,4,8,16,64,136,272,136,35,0,0
3,3,3,3,3,3,0,,357,9,27,81,9,81,243,81,25,0,0
4,4,4,4,4,4,0,,356,16,64,256,136,136,184,136,35,0,0
5,5,5,5,0,5,0,,355,25,125,265,145,145,5,145,23,1,0
6,6,6,6,1,6,0,,354,36,216,216,216,216,216,216,5,0,0
7,1,7,7,2,7,1,12,353,49,343,241,289,1,7,1,235,1,0
8,8,0,8,3,8,0,,352,64,152,136,64,136,8,136,35,1,0
9,9,1,0,4,9,0,,351,81,9,81,81,81,9,81,25,1,0
10,10,2,1,0,10,0,,350,100,280,280,280,280,280,280,3,0,0
11,1,3,2,1,11,1,6,349,121,251,241,1,1,11,1,235,1,0
12,12,4,3,2,12,0,,348,144,288,216,144,216,72,216,5,0,0
13,1,5,4,3,13,1,12,347,169,37,121,289,1,13,1,235,1,0
14,2,6,5,4,14,0,,346,196,224,256,136,136,104,136,35,0,0
15,15,7,6,0,15,0,,345,225,135,225,225,225,135,225,2,0,0
16,8,0,7,1,16,0,,344,256,136,16,136,136,16,136,35,1,0
17,1,1,8,2,17,1,4,343,289,233,1,289,1,17,1,235,1,0
18,18,2,0,3,18,0,,342,324,72,216,144,216,288,216,5,0,0
19,1,3,1,4,19,1,2,341,1,19,1,1,1,19,1,235,1,0
20,20,4,2,0,20,0,,340,40,80,160,280,280,200,280,3,0,0
21,3,5,3,1,21,0,,339,81,261,81,81,81,261,81,25,0,0
22,2,6,4,2,22,0,,338,124,208,256,64,136,112,136,35,0,0
23,1,7,5,3,23,1,12,337,169,287,121,289,1,23,1,235,1,0
24,24,0,6,4,24,0,,336,216,144,216,216,216,144,216,5,0,0
25,5,1,7,0,25,0,,335,265,145,25,145,145,25,145,23,1,0
26,2,2,8,1,26,0,,334,316,296,136,136,136,296,136,35,0,0
27,9,3,0,2,27,0,,333,9,243,81,9,81,27,81,25,1,0
28,4,4,1,3,28,0,,332,64,352,136,64,136,208,136,35,0,0
29,1,5,2,4,29,1,6,331,121,269,241,1,1,29,1,235,1,0
30,30,6,3,0,0,0,,330,180,0,0,0,0,0,0,empty,0,1
31,1,7,4,1,1,1,6,329,241,271,121,1,1,31,1,235,1,0
32,8,0,5,2,2,0,,328,304,8,256,64,136,32,136,35,1,0
33,3,1,6,3,3,0,,327,9,297,81,9,81,153,81,25,0,0
34,2,2,7,4,4,0,,326,76,64,16,136,136,304,136,35,0,0
35,5,3,8,0,5,0,,325,145,35,145,145,145,35,145,23,1,0
36,36,4,0,1,6,0,,324,216,216,216,216,216,216,216,5,0,0
37,1,5,1,2,7,1,4,323,289,253,1,289,1,37,1,235,1,0
38,2,6,2,3,8,0,,322,4,152,16,64,136,128,136,35,0,0
39,3,7,3,4,9,0,,321,81,279,81,81,81,279,81,25,0,0
40,40,0,4,0,10,0,,320,160,280,40,280,280,40,280,3,1,0
41,1,1,5,1,11,1,6,319,241,161,121,1,1,41,1,235,1,0
42,6,2,6,2,12,0,,318,324,288,216,144,216,72,216,5,0,0
43,1,3,7,3,13,1,12,317,49,307,241,289,1,43,1,235,1,0
44,4,4,8,4,14,0,,316,136,224,136,136,136,224,136,35,0,0
45,45,5,0,0,15,0,,315,225,45,225,225,225,45,225,2,1,0
46,2,6,1,1,16,0,,314,316,136,136,136,136,136,136,35,0,0
47,1,7,2,2,17,1,12,313,49,143,241,289,1,47,1,235,1,0
48,24,0,3,3,18,0,,312,144,72,216,144,216,288,216,5,0,0
49,1,1,4,4,19,1,6,311,241,289,121,1,1,49,1,235,1,0
50,10,2,5,0,20,0,,310,340,80,40,280,280,320,280,3,0,0
51,3,3,6,1,21,0,,309,81,171,81,81,81,171,81,25,0,0
52,4,4,7,2,22,0,,308,184,208,16,64,136,232,136,35,0,0
53,1,5,8,3,23,1,4,307,289,197,1,289,1,53,1,235,1,0
54,18,6,0,4,24,0,,306,36,144,216,216,216,144,216,5,0,0
55,5,7,1,0,25,0,,305,145,55,145,145,145,55,145,23,1,0
56,8,0,2,1,26,0,,304,256,296,16,136,136,56,136,35,1,0
57,3,1,3,2,27,0,,303,9,153,81,9,81,297,81,25,0,0
58,2,2,4,3,28,0,,302,124,352,256,64,136,328,136,35,0,0
59,1,3,5,4,29,1,6,301,241,179,121,1,1,59,1,235,1,0
60,60,4,6,0,0,0,,300,0,0,0,0,0,0,0,empty,0,1
61,1,5,7,1,1,1,6,299,121,181,241,1,1,61,1,235,1,0
62,2,6,8,2,2,0,,298,244,8,136,64,136,152,136,35,0,0
63,9,7,0,3,3,0,,297,9,207,81,9,81,63,81,25,1,0
64,8,0,1,4,4,0,,296,136,64,136,136,136,64,136,35,1,0
65,5,1,2,0,5,0,,295,265,305,25,145,145,65,145,23,1,0
66,6,2,3,1,6,0,,294,36,216,216,216,216,216,216,5,0,0
67,1,3,4,2,7,1,12,293,169,163,121,289,1,67,1,235,1,0
68,4,4,5,3,8,0,,292,304,152,256,64,136,248,136,35,0,0
69,3,5,6,4,9,0,,291,81,189,81,81,81,189,81,25,0,0
70,10,6,7,0,10,0,,290,220,280,160,280,280,160,280,3,0,0
71,1,7,8,1,11,1,2,289,1,71,1,1,1,71,1,235,1,0
72,72,0,0,2,12,0,,288,144,288,216,144,216,72,216,5,1,0
73,1,1,1,3,13,1,4,287,289,217,1,289,1,73,1,235,1,0
74,2,2,2,4,14,0,,286,76,224,16,136,136,344,136,35,0,0
75,15,3,3,0,15,0,,285,225,315,225,225,225,315,225,2,0,0
76,4,4,4,1,16,0,,284,16,136,256,136,136,256,136,35,0,0
77,1,5,5,2,17,1,12,283,169,53,121,289,1,77,1,235,1,0
78,6,6,6,3,18,0,,282,324,72,216,144,216,288,216,5,0,0
79,1,7,7,4,19,1,6,281,121,199,241,1,1,79,1,235,1,0
80,40,0,8,0,20,0,,280,280,80,280,280,280,80,280,3,1,0
81,9,1,0,1,21,0,,279,81,81,81,81,81,81,81,25,1,0
82,2,2,1,2,22,0,,278,244,208,136,64,136,352,136,35,0,0
83,1,3,2,3,23,1,12,277,49,107,241,289,1,83,1,235,1,0
84,12,4,3,4,24,0,,276,216,144,216,216,216,144,216,5,0,0
85,5,5,4,0,25,0,,275,25,325,265,145,145,85,145,23,1,0
86,2,6,5,1,26,0,,274,196,296,256,136,136,176,136,35,0,0
87,3,7,6,2,27,0,,273,9,63,81,9,81,207,81,25,0,0
88,8,0,7,3,28,0,,272,184,352,16,64,136,88,136,35,1,0
89,1,1,8,4,29,1,2,271,1,89,1,1,1,89,1,235,1,0
