r,gcd360,mod8,mod9,mod5,mod30,prime_capable,unit_order,mirror,square,cube,pow4,pow6,pow12,pow13,support_idempotent,support,regular,nilpotent
270,90,6,0,0,0,0,,90,180,0,0,0,0,0,0,empty,0,1
271,1,7,1,1,1,1,2,89,1,271,1,1,1,271,1,235,1,0
272,8,0,2,2,2,0,,88,184,8,16,64,136,272,136,35,1,0
273,3,1,3,3,3,0,,87,9,297,81,9,81,153,81,25,0,0
274,2,2,4,4,4,0,,86,196,64,256,136,136,184,136,35,0,0
275,5,3,5,0,5,0,,85,25,35,265,145,145,275,145,23,1,0
276,12,4,6,1,6,0,,84,216,216,216,216,216,216,216,5,0,0
277,1,5,7,2,7,1,12,83,49,253,241,289,1,277,1,235,1,0
278,2,6,8,3,8,0,,82,244,152,136,64,136,8,136,35,0,0
279,9,7,0,4,9,0,,81,81,279,81,81,81,279,81,25,1,0
280,40,0,1,0,10,0,,80,280,280,280,280,280,280,280,3,1,0
281,1,1,2,1,11,1,6,79,121,161,241,1,1,281,1,235,1,0
282,6,2,3,2,12,0,,78,324,288,216,144,216,72,216,5,0,0
283,1,3,4,3,13,1,12,77,169,307,121,289,1,283,1,235,1,0
284,4,4,5,4,14,0,,76,16,224,256,136,136,104,136,35,0,0
285,15,5,6,0,15,0,,75,225,45,225,225,225,45,225,2,0,0
286,2,6,7,1,16,0,,74,76,136,16,136,136,16,136,35,0,0
287,1,7,8,2,17,1,4,73,289,143,1,289,1,287,1,235,1,0
288,72,0,0,3,18,0,,72,144,72,216,144,216,288,216,5,1,0
289,1,1,1,4,19,1,2,71,1,289,1,1,1,289,1,235,1,0
290,10,2,2,0,20,0,,70,220,80,160,280,280,200,280,3,0,0
291,3,3,3,1,21,0,,69,81,171,81,81,81,171,81,25,0,0
292,4,4,4,2,22,0,,68,304,208,256,64,136,112,136,35,0,0
293,1,5,5,3,23,1,12,67,169,197,121,289,1,293,1,235,1,0
294,6,6,6,4,24,0,,66,36,144,216,216,216,144,216,5,0,0
295,5,7,7,0,25,0,,65,265,55,25,145,145,295,145,23,1,0
296,8,0,8,1,26,0,,64,136,296,136,136,136,296,136,35,1,0
297,9,1,0,2,27,0,,63,9,153,81,9,81,297,81,25,1,0
298,2,2,1,3,28,0,,62,244,352,136,64,136,208,136,35,0,0
299,1,3,2,4,29,1,6,61,121,179,241,1,1,299,1,235,1,0
300,60,4,3,0,0,0,,60,0,0,0,0,0,0,0,empty,0,1
301,1,5,4,1,1,1,6,59,241,181,121,1,1,301,1,235,1,0
302,2,6,5,2,2,0,,58,124,8,256,64,136,32,136,35,0,0
303,3,7,6,3,3,0,,57,9,207,81,9,81,63,81,25,0,0
304,8,0,7,4,4,0,,56,256,64,16,136,136,304,136,35,1,0
305,5,1,8,0,5,0,,55,145,305,145,145,145,305,145,23,1,0
306,18,2,0,1,6,0,,54,36,216,216,216,216,216,216,5,0,0
307,1,3,1,2,7,1,4,53,289,163,1,289,1,307,1,235,1,0
308,4,4,2,3,8,0,,52,184,152,16,64,136,128,136,35,0,0
309,3,5,3,4,9,0,,51,81,189,81,81,81,189,81,25,0,0
310,10,6,4,0,10,0,,50,340,280,40,280,280,40,280,3,0,0
311,1,7,5,1,11,1,6,49,241,71,121,1,1,311,1,235,1,0
312,24,0,6,2,12,0,,48,144,288,216,144,216,72,216,5,0,0
313,1,1,7,3,13,1,12,47,49,217,241,289,1,313,1,235,1,0
314,2,2,8,4,14,0,,46,316,224,136,136,136,224,136,35,0,0
315,45,3,0,0,15,0,,45,225,315,225,225,225,315,225,2,1,0
316,4,4,1,1,16,0,,44,136,136,136,136,136,136,136,35,0,0
317,1,5,2,2,17,1,12,43,49,53,241,289,1,317,1,235,1,0
318,6,6,3,3,18,0,,42,324,72,216,144,216,288,216,5,0,0
319,1,7,4,4,19,1,6,41,241,199,121,1,1,319,1,235,1,0
320,40,0,5,0,20,0,,40,160,80,40,280,280,320,280,3,1,0
321,3,1,6,1,21,0,,39,81,81,81,81,81,81,81,25,0,0
322,2,2,7,2,22,0,,38,4,208,16,64,136,232,136,35,0,0
323,1,3,8,3,23,1,4,37,289,107,1,289,1,323,1,235,1,0
324,36,4,0,4,24,0,,36,216,144,216,216,216,144,216,5,0,0
325,5,5,1,0,25,0,,35,145,325,145,145,145,325,145,23,1,0
326,2,6,2,1,26,0,,34,76,296,16,136,136,56,136,35,0,0
327,3,7,3,2,27,0,,33,9,63,81,9,81,207,81,25,0,0
328,8,0,4,3,28,0,,32,304,352,256,64,136,328,136,35,1,0
329,1,1,5,4,29,1,6,31,241,89,121,1,1,329,1,235,1,0
330,30,2,6,0,0,0,,30,180,0,0,0,0,0,0,empty,0,1
331,1,3,7,1,1,1,6,29,121,91,241,1,1,331,1,235,1,0
332,4,4,8,2,2,0,,28,64,8,136,64,136,152,136,35,0,0
333,9,5,0,3,3,0,,27,9,117,81,9,81,333,81,25,1,0
334,2,6,1,4,4,0,,26,316,64,136,136,136,64,136,35,0,0
335,5,7,2,0,5,0,,25,265,215,25,145,145,335,145,23,1,0
336,24,0,3,1,6,0,,24,216,216,216,216,216,216,216,5,0,0
