r,gcd360,mod8,mod9,mod5,mod30,prime_capable,unit_order,mirror,square,cube,pow4,pow6,pow12,pow13,support_idempotent,support,regular,nilpotent
180,180,4,0,0,0,0,,180,0,0,0,0,0,0,0,empty,0,1
181,1,5,1,1,1,1,2,179,1,181,1,1,1,181,1,235,1,0
182,2,6,2,2,2,0,,178,4,8,16,64,136,272,136,35,0,0
183,3,7,3,3,3,0,,177,9,207,81,9,81,63,81,25,0,0
184,8,0,4,4,4,0,,176,16,64,256,136,136,184,136,35,1,0
185,5,1,5,0,5,0,,175,25,305,265,145,145,185,145,23,1,0
186,6,2,6,1,6,0,,174,36,216,216,216,216,216,216,5,0,0
187,1,3,7,2,7,1,12,173,49,163,241,289,1,187,1,235,1,0
188,4,4,8,3,8,0,,172,64,152,136,64,136,8,136,35,0,0
189,9,5,0,4,9,0,,171,81,189,81,81,81,189,81,25,1,0
190,10,6,1,0,10,0,,170,100,280,280,280,280,280,280,3,0,0
191,1,7,2,1,11,1,6,169,121,71,241,1,1,191,1,235,1,0
192,24,0,3,2,12,0,,168,144,288,216,144,216,72,216,5,0,0
193,1,1,4,3,13,1,12,167,169,217,121,289,1,193,1,235,1,0
194,2,2,5,4,14,0,,166,196,224,256,136,136,104,136,35,0,0
195,15,3,6,0,15,0,,165,225,315,225,225,225,315,225,2,0,0
196,4,4,7,1,16,0,,164,256,136,16,136,136,16,136,35,0,0
197,1,5,8,2,17,1,4,163,289,53,1,289,1,197,1,235,1,0
198,18,6,0,3,18,0,,162,324,72,216,144,216,288,216,5,0,0
199,1,7,1,4,19,1,2,161,1,199,1,1,1,199,1,235,1,0
200,40,0,2,0,20,0,,160,40,80,160,280,280,200,280,3,1,0
201,3,1,3,1,21,0,,159,81,81,81,81,81,81,81,25,0,0
202,2,2,4,2,22,0,,158,124,208,256,64,136,112,136,35,0,0
203,1,3,5,3,23,1,12,157,169,107,121,289,1,203,1,235,1,0
204,12,4,6,4,24,0,,156,216,144,216,216,216,144,216,5,0,0
205,5,5,7,0,25,0,,155,265,325,25,145,145,205,145,23,1,0
206,2,6,8,1,26,0,,154,316,296,136,136,136,296,136,35,0,0
207,9,7,0,2,27,0,,153,9,63,81,9,81,207,81,25,1,0
208,8,0,1,3,28,0,,152,64,352,136,64,136,208,136,35,1,0
209,1,1,2,4,29,1,6,151,121,89,241,1,1,209,1,235,1,0
210,30,2,3,0,0,0,,150,180,0,0,0,0,0,0,empty,0,1
211,1,3,4,1,1,1,6,149,241,91,121,1,1,211,1,235,1,0
212,4,4,5,2,2,0,,148,304,8,256,64,136,32,136,35,0,0
213,3,5,6,3,3,0,,147,9,117,81,9,81,333,81,25,0,0
214,2,6,7,4,4,0,,146,76,64,16,136,136,304,136,35,0,0
215,5,7,8,0,5,0,,145,145,215,145,145,145,215,145,23,1,0
216,72,0,0,1,6,0,,144,216,216,216,216,216,216,216,5,1,0
217,1,1,1,2,7,1,4,143,289,73,1,289,1,217,1,235,1,0
218,2,2,2,3,8,0,,142,4,152,16,64,136,128,136,35,0,0
219,3,3,3,4,9,0,,141,81,99,81,81,81,99,81,25,0,0
220,20,4,4,0,10,0,,140,160,280,40,280,280,40,280,3,0,0
221,1,5,5,1,11,1,6,139,241,341,121,1,1,221,1,235,1,0
222,6,6,6,2,12,0,,138,324,288,216,144,216,72,216,5,0,0
223,1,7,7,3,13,1,12,137,49,127,241,289,1,223,1,235,1,0
224,8,0,8,4,14,0,,136,136,224,136,136,136,224,136,35,1,0
225,45,1,0,0,15,0,,135,225,225,225,225,225,225,225,2,1,0
226,2,2,1,1,16,0,,134,316,136,136,136,136,136,136,35,0,0
227,1,3,2,2,17,1,12,133,49,323,241,289,1,227,1,235,1,0
228,12,4,3,3,18,0,,132,144,72,216,144,216,288,216,5,0,0
229,1,5,4,4,19,1,6,131,241,109,121,1,1,229,1,235,1,0
230,10,6,5,0,20,0,,130,340,80,40,280,280,320,280,3,0,0
231,3,7,6,1,21,0,,129,81,351,81,81,81,351,81,25,0,0
232,8,0,7,2,22,0,,128,184,208,16,64,136,232,136,35,1,0
233,1,1,8,3,23,1,4,127,289,17,1,289,1,233,1,235,1,0
234,18,2,0,4,24,0,,126,36,144,216,216,216,144,216,5,0,0
235,5,3,1,0,25,0,,125,145,235,145,145,145,235,145,23,1,0
236,4,4,2,1,26,0,,124,256,296,16,136,136,56,136,35,0,0
237,3,5,3,2,27,0,,123,9,333,81,9,81,117,81,25,0,0
238,2,6,4,3,28,0,,122,124,352,256,64,136,328,136,35,0,0
239,1,7,5,4,29,1,6,121,241,359,121,1,1,239,1,235,1,0
240,120,0,6,0,0,0,,120,0,0,0,0,0,0,0,empty,0,1
241,1,1,7,1,1,1,3,119,121,1,241,1,1,241,1,235,1,0
242,2,2,8,2,2,0,,118,244,8,136,64,136,152,136,35,0,0
243,9,3,0,3,3,0,,117,9,27,81,9,81,243,81,25,1,0
244,4,4,1,4,4,0,,116,136,64,136,136,136,64,136,35,0,0
245,5,5,2,0,5,0,,115,265,125,25,145,145,245,145,23,1,0
246,6,6,3,1,6,0,,114,36,216,216,216,216,216,216,5,0,0
247,1,7,4,2,7,1,12,113,169,343,121,289,1,247,1,235,1,0
248,8,0,5,3,8,0,,112,304,152,256,64,136,248,136,35,1,0
249,3,1,6,4,9,0,,111,81,9,81,81,81,9,81,25,0,0
250,10,2,7,0,10,0,,110,220,280,160,280,280,160,280,3,0,0
251,1,3,8,1,11,1,2,109,1,251,1,1,1,251,1,235,1,0
252,36,4,0,2,12,0,,108,144,288,216,144,216,72,216,5,0,0
253,1,5,1,3,13,1,4,107,289,37,1,289,1,253,1,235,1,0
254,2,6,2,4,14,0,,106,76,224,16,136,136,344,136,35,0,0
255,15,7,3,0,15,0,,105,225,135,225,225,225,135,225,2,0,0
256,8,0,4,1,16,0,,104,16,136,256,136,136,256,136,35,1,0
257,1,1,5,2,17,1,12,103,169,233,121,289,1,257,1,235,1,0
258,6,2,6,3,18,0,,102,324,72,216,144,216,288,216,5,0,0
259,1,3,7,4,19,1,6,101,121,19,241,1,1,259,1,235,1,0
260,20,4,8,0,20,0,,100,280,80,280,280,280,80,280,3,0,0
261,9,5,0,1,21,0,,99,81,261,81,81,81,261,81,25,1,0
262,2,6,1,2,22,0,,98,244,208,136,64,136,352,136,35,0,0
263,1,7,2,3,23,1,12,97,49,287,241,289,1,263,1,235,1,0
264,24,0,3,4,24,0,,96,216,144,216,216,216,144,216,5,0,0
265,5,1,4,0,25,0,,95,25,145,265,145,145,265,145,23,1,0
266,2,2,5,1,26,0,,94,196,296,256,136,136,176,136,35,0,0
267,3,3,6,2,27,0,,93,9,243,81,9,81,27,81,25,0,0
268,4,4,7,3,28,0,,92,184,352,16,64,136,88,136,35,0,0
269,1,5,8,4,29,1,2,91,1,269,1,1,1,269,1,235,1,0
