kind,lower_exclusive,upper_inclusive,p,p_mod30,total_units,q_total,a_minus_q_total,u_minus_a_total,delta,delta_fine,delta_coarse
cumulative,0,360000,7,7,5257,329,998,3930,-7/90,11/18,-17/24
cumulative,0,360000,11,11,3506,220,661,2625,-7/45,1/18,-1/4
cumulative,0,360000,13,13,3014,190,561,2263,-13/45,-1/2,5/36
cumulative,0,360000,17,17,2373,153,441,1779,-5/6,-1,-1/24
cumulative,0,360000,19,19,2147,131,395,1621,17/30,1/9,43/72
cumulative,0,360000,23,23,1817,117,344,1356,-11/18,-7/18,-3/8
cumulative,0,360000,29,29,1472,93,279,1100,-8/45,0,-2/9
cumulative,0,360000,31,1,1385,90,248,1047,-11/18,-11/9,11/24
cumulative,0,360000,37,7,1187,72,227,888,7/18,11/18,-1/8
cumulative,0,360000,41,11,1081,66,202,813,5/18,2/9,1/8
cumulative,0,360000,43,13,1034,64,197,773,1/9,5/18,-5/36
cumulative,0,360000,47,17,956,59,181,716,2/15,2/9,-1/18
cumulative,0,360000,53,23,858,57,153,648,-3/5,-1,1/4
cumulative,0,360000,59,29,779,50,149,580,-7/30,-1/18,-17/72
cumulative,0,360000,61,1,758,46,136,576,11/45,-1/9,5/12
cumulative,0,360000,67,7,689,43,133,513,1/90,2/9,-5/24
cumulative,0,360000,71,11,657,40,126,491,17/90,1/3,-7/72
cumulative,0,360000,73,13,637,42,119,476,-7/18,-7/18,-7/72
cumulative,0,360000,79,19,595,36,104,455,19/90,-2/9,35/72
cumulative,0,360000,83,23,569,34,108,427,5/18,1/3,1/72
cumulative,0,360000,89,29,533,34,101,398,-11/90,-1/18,-7/72
cumulative,0,360000,97,7,493,33,91,369,-7/18,-4/9,-1/24
cumulative,0,360000,101,11,473,29,90,354,1/10,1/6,-1/24
cumulative,0,360000,103,13,461,28,86,347,13/90,1/9,5/72
cumulative,0,360000,107,17,446,28,85,333,-1/45,1/18,-1/12
cumulative,0,360000,109,19,435,29,77,329,-29/90,-5/9,11/72
cumulative,0,360000,113,23,420,27,81,312,-2/15,0,-1/6
cumulative,0,360000,127,7,380,24,72,284,-2/45,0,-1/18
cumulative,0,360000,131,11,368,23,69,276,0,0,0
cumulative,0,360000,137,17,348,20,69,259,14/45,1/2,-1/9
cumulative,0,360000,139,19,342,23,60,259,-13/45,-1/2,5/36
cumulative,0,360000,149,29,323,19,60,244,19/90,1/6,7/72
cumulative,0,360000,151,1,318,19,59,240,7/45,1/9,1/12
cumulative,0,360000,157,7,303,18,57,228,1/6,1/6,1/24
cumulative,0,360000,163,13,291,17,56,218,19/90,5/18,-1/72
cumulative,0,360000,167,17,286,18,55,213,-1/45,1/18,-1/12
cumulative,0,360000,173,23,272,18,52,202,-8/45,-1/9,-1/9
cumulative,0,360000,179,29,264,15,50,199,4/15,5/18,1/18
cumulative,0,360000,181,1,258,17,45,196,-7/45,-1/3,5/36
cumulative,0,360000,191,11,246,16,43,187,-1/9,-5/18,5/36
cumulative,0,360000,193,13,240,13,47,180,16/45,4/9,0
