kind,lower_exclusive,upper_inclusive,p,p_mod30,total_units,q_total,a_minus_q_total,u_minus_a_total,delta,delta_fine,delta_coarse
interval,36000,360000,139,19,321,22,55,244,-31/90,-11/18,13/72
interval,36000,360000,149,29,305,19,57,229,1/90,0,1/72
interval,36000,360000,151,1,303,18,56,229,1/6,1/9,7/72
interval,36000,360000,157,7,290,18,54,218,1/45,0,1/36
interval,36000,360000,163,13,282,17,55,210,1/9,2/9,-1/12
interval,36000,360000,167,17,278,18,53,207,-1/9,-1/18,-1/12
interval,36000,360000,173,23,266,17,52,197,-1/15,1/18,-5/36
interval,36000,360000,179,29,259,15,49,195,19/90,2/9,1/24
interval,36000,360000,181,1,255,17,45,193,-17/90,-1/3,7/72
interval,36000,360000,191,11,246,16,43,187,-1/9,-5/18,5/36
interval,36000,360000,193,13,240,13,47,180,16/45,4/9,0
interval,36000,360000,197,17,236,14,46,176,2/15,2/9,-1/18
interval,36000,360000,199,19,233,12,45,176,41/90,1/2,5/72
interval,36000,360000,211,1,219,16,36,167,-37/90,-2/3,11/72
interval,36000,360000,223,13,207,15,35,157,-11/30,-5/9,7/72
interval,36000,360000,227,17,201,14,37,150,-23/90,-5/18,-1/24
interval,36000,360000,229,19,198,11,35,152,11/45,1/9,7/36
interval,36000,360000,233,23,192,11,37,144,8/45,2/9,0
interval,36000,360000,239,29,187,12,37,138,-1/18,1/18,-1/8
interval,36000,360000,241,1,185,9,34,142,41/90,7/18,13/72
interval,36000,360000,251,11,173,7,37,129,61/90,8/9,-1/24
interval,36000,360000,257,17,167,9,33,125,23/90,1/3,-1/72
interval,36000,360000,263,23,163,10,30,123,1/30,0,1/24
interval,36000,360000,269,29,160,11,30,119,-8/45,-1/6,-1/18
interval,36000,360000,271,1,159,8,28,123,31/90,2/9,5/24
interval,36000,360000,277,7,152,12,28,112,-4/9,-4/9,-1/9
interval,36000,360000,281,11,147,10,27,110,-13/90,-1/6,-1/72
interval,36000,360000,283,13,144,8,30,106,8/45,1/3,-1/9
interval,36000,360000,293,23,138,7,28,103,13/45,7/18,-1/36
interval,36000,360000,307,7,130,7,28,95,1/5,7/18,-5/36
interval,36000,360000,311,11,127,9,24,94,-17/90,-1/6,-5/72
interval,36000,360000,313,13,124,7,26,91,2/15,5/18,-1/9
interval,36000,360000,317,17,123,6,23,94,3/10,5/18,7/72
interval,36000,360000,331,1,114,9,18,87,-1/3,-1/2,1/12
interval,36000,360000,337,7,111,6,22,83,1/6,2/9,-1/72
interval,36000,360000,347,17,105,7,19,79,-7/90,-1/9,1/72
interval,36000,360000,349,19,103,6,17,80,7/90,-1/18,11/72
interval,36000,360000,353,23,100,5,20,75,2/9,5/18,0
interval,36000,360000,359,29,96,6,19,71,0,1/18,-1/18
interval,36000,360000,367,7,92,6,18,68,-2/45,0,-1/18
interval,36000,360000,373,13,88,6,16,66,-4/45,-1/9,0
interval,36000,360000,379,19,86,7,12,67,-13/45,-1/2,5/36
interval,36000,360000,383,23,83,5,14,64,1/30,-1/18,7/72
interval,36000,360000,389,29,80,4,17,59,8/45,5/18,-1/18
interval,36000,360000,397,7,76,5,14,57,-2/45,-1/18,0
interval,36000,360000,401,11,75,7,12,56,-37/90,-1/2,-1/72
interval,36000,360000,409,19,71,2,15,54,13/30,1/2,1/24
interval,36000,360000,419,29,68,2,15,51,2/5,1/2,0
interval,36000,360000,421,1,65,4,11,50,1/90,-1/18,5/72
interval,36000,360000,431,11,62,3,12,47,7/45,1/6,1/36
interval,36000,360000,433,13,61,3,12,46,13/90,1/6,1/72
interval,36000,360000,439,19,56,2,11,43,4/15,5/18,1/18
interval,36000,360000,443,23,55,4,10,41,-1/10,-1/9,-1/72
interval,36000,360000,449,29,52,4,8,40,-2/15,-2/9,1/18
interval,36000,360000,457,7,50,2,11,37,1/5,5/18,-1/36
interval,36000,360000,461,11,48,2,9,37,8/45,1/6,1/18
interval,36000,360000,463,13,47,3,8,36,-1/90,-1/18,1/24
interval,36000,360000,467,17,45,3,8,34,-1/30,-1/18,1/72
interval,36000,360000,479,29,41,2,7,32,1/10,1/18,5/72
interval,36000,360000,487,7,38,2,7,29,1/15,1/18,1/36
interval,36000,360000,491,11,36,1,7,28,2/9,2/9,1/18
interval,36000,360000,499,19,33,3,5,25,-1/6,-2/9,1/72
interval,36000,360000,503,23,31,1,8,22,1/6,5/18,-5/72
interval,36000,360000,509,29,29,1,5,23,13/90,1/9,5/72
interval,36000,360000,521,11,26,2,2,22,-1/15,-2/9,5/36
interval,36000,360000,523,13,25,2,4,19,-7/90,-1/9,1/72
interval,36000,360000,541,1,21,1,4,16,1/18,1/18,1/72
interval,36000,360000,547,7,18,1,3,14,1/45,0,1/36
interval,36000,360000,557,17,15,0,4,11,1/6,2/9,-1/72
interval,36000,360000,563,23,12,1,2,9,-2/45,-1/18,0
interval,36000,360000,569,29,11,0,1,10,11/90,1/18,7/72
interval,36000,360000,571,1,9,1,1,7,-7/90,-1/9,1/72
interval,36000,360000,577,7,8,0,2,6,4/45,1/9,0
interval,36000,360000,587,17,5,0,1,4,1/18,1/18,1/72
interval,36000,360000,593,23,3,0,0,3,1/30,0,1/24
interval,36000,360000,599,29,1,0,0,1,1/90,0,1/72
