kind,lower_exclusive,upper_inclusive,p,p_mod30,total_units,q_total,a_minus_q_total,u_minus_a_total,delta,delta_fine,delta_coarse
interval,36000,360000,7,7,4576,285,868,3423,8/45,13/18,-1/2
interval,36000,360000,11,11,3049,191,574,2284,-7/90,1/18,-11/72
interval,36000,360000,13,13,2617,166,485,1966,-13/30,-13/18,13/72
interval,36000,360000,17,17,2061,136,378,1547,-23/18,-5/3,5/72
interval,36000,360000,19,19,1865,113,345,1407,19/30,1/3,11/24
interval,36000,360000,23,23,1580,103,298,1179,-34/45,-11/18,-1/3
interval,36000,360000,29,29,1279,80,243,956,-1/90,1/6,-13/72
interval,36000,360000,31,1,1205,80,218,907,-5/6,-11/9,13/72
interval,36000,360000,37,7,1035,63,196,776,3/10,7/18,-1/72
interval,36000,360000,41,11,943,57,177,709,31/90,1/3,7/72
interval,36000,360000,43,13,903,56,172,675,7/90,2/9,-1/8
interval,36000,360000,47,17,836,53,157,626,-2/15,-1/9,-1/18
interval,36000,360000,53,23,751,50,133,568,-49/90,-17/18,19/72
interval,36000,360000,59,29,685,45,129,511,-7/18,-1/3,-11/72
interval,36000,360000,61,1,669,40,123,506,29/90,1/6,17/72
interval,36000,360000,67,7,609,39,116,454,-1/6,-1/18,-11/72
interval,36000,360000,71,11,581,34,112,435,37/90,5/9,-1/24
interval,36000,360000,73,13,564,36,106,422,-2/15,-1/9,-1/18
interval,36000,360000,79,19,530,32,93,405,1/5,-1/6,5/12
interval,36000,360000,83,23,508,31,96,381,2/15,1/6,0
interval,36000,360000,89,29,478,32,90,356,-17/45,-1/3,-5/36
interval,36000,360000,97,7,445,30,82,333,-7/18,-4/9,-1/24
interval,36000,360000,101,11,428,27,83,318,-2/45,1/9,-1/6
interval,36000,360000,103,13,418,26,78,314,1/45,0,1/36
interval,36000,360000,107,17,407,27,75,305,-5/18,-1/3,-1/72
interval,36000,360000,109,19,398,27,71,300,-17/45,-5/9,1/12
interval,36000,360000,113,23,384,24,74,286,0,1/9,-1/9
interval,36000,360000,127,7,350,23,67,260,-1/5,-1/9,-5/36
interval,36000,360000,131,11,342,21,65,256,1/15,1/9,-1/36
interval,36000,360000,137,17,326,18,65,243,19/45,11/18,-1/12
