kind,lower_exclusive,upper_inclusive,p,p_mod30,total_units,q_total,a_minus_q_total,u_minus_a_total,delta,delta_fine,delta_coarse
cumulative,0,3600000,7,7,42614,2688,7995,31931,-197/45,-23/6,-59/36
cumulative,0,3600000,11,11,28178,1763,5292,21123,-1/3,1/6,-7/12
cumulative,0,3600000,13,13,24193,1515,4554,18124,-47/90,1/2,-83/72
cumulative,0,3600000,17,17,18949,1187,3563,14199,-43/90,1/9,-17/24
cumulative,0,3600000,19,19,17114,1062,3189,12863,61/45,1/6,55/36
cumulative,0,3600000,23,23,14387,893,2709,10785,11/10,5/3,-7/24
cumulative,0,3600000,29,29,11649,731,2187,8731,-47/90,-1/3,-23/72
cumulative,0,3600000,31,1,10962,690,2024,8248,-13/15,-23/9,53/36
cumulative,0,3600000,37,7,9346,588,1759,6999,-31/45,-5/18,-7/12
cumulative,0,3600000,41,11,8514,525,1615,6374,19/15,20/9,-23/36
cumulative,0,3600000,43,13,8156,504,1542,6110,46/45,5/3,-7/18
cumulative,0,3600000,47,17,7518,472,1414,5632,-17/45,-1/9,-13/36
cumulative,0,3600000,53,23,6747,415,1283,5049,107/90,19/9,-5/8
cumulative,0,3600000,59,29,6130,383,1158,4589,1/45,1/2,-17/36
cumulative,0,3600000,61,1,5947,376,1093,4478,-23/30,-35/18,71/72
cumulative,0,3600000,67,7,5457,342,1034,4081,-1/6,4/9,-47/72
cumulative,0,3600000,71,11,5176,330,974,3872,-52/45,-8/9,-5/9
cumulative,0,3600000,73,13,5046,322,950,3774,-53/45,-8/9,-7/12
cumulative,0,3600000,79,19,4702,292,859,3551,1/3,-17/18,49/36
cumulative,0,3600000,83,23,4499,284,841,3374,-1/2,-11/18,-1/72
cumulative,0,3600000,89,29,4216,264,798,3154,-4/45,1/3,-4/9
cumulative,0,3600000,97,7,3908,245,740,2923,-2/15,5/18,-4/9
cumulative,0,3600000,101,11,3767,245,703,2819,-17/10,-16/9,-25/72
cumulative,0,3600000,103,13,3702,230,698,2774,11/45,4/9,-5/36
cumulative,0,3600000,107,17,3578,226,674,2678,-19/45,-2/9,-11/36
cumulative,0,3600000,109,19,3511,218,640,2653,23/90,-7/9,79/72
cumulative,0,3600000,113,23,3392,219,632,2541,-56/45,-25/18,-1/6
cumulative,0,3600000,127,7,3054,188,573,2293,23/45,1/2,5/36
cumulative,0,3600000,131,11,2970,186,560,2224,-1/15,1/9,-7/36
cumulative,0,3600000,137,17,2855,185,536,2134,-7/6,-19/18,-29/72
cumulative,0,3600000,139,19,2814,177,521,2116,-1/5,-5/9,11/36
cumulative,0,3600000,149,29,2654,169,496,1989,-5/9,-11/18,-1/12
cumulative,0,3600000,151,1,2616,168,474,1974,-4/5,-5/3,2/3
cumulative,0,3600000,157,7,2521,158,472,1891,-7/90,-1/9,1/72
cumulative,0,3600000,163,13,2437,160,453,1824,-41/30,-3/2,-5/24
cumulative,0,3600000,167,17,2378,152,443,1783,-3/5,-13/18,-1/36
cumulative,0,3600000,173,23,2304,140,437,1727,32/45,17/18,-1/18
cumulative,0,3600000,179,29,2232,141,421,1670,-4/15,-1/9,-2/9
cumulative,0,3600000,181,1,2207,140,403,1664,-11/30,-17/18,35/72
cumulative,0,3600000,191,11,2104,128,398,1578,28/45,7/9,0
cumulative,0,3600000,193,13,2086,131,396,1559,-1/9,1/6,-11/36
cumulative,0,3600000,197,17,2049,122,394,1533,97/90,14/9,-5/24
cumulative,0,3600000,199,19,2027,133,367,1527,-101/90,-16/9,3/8
cumulative,0,3600000,211,1,1921,117,350,1454,49/90,-1/18,53/72
cumulative,0,3600000,223,13,1831,112,347,1372,13/30,11/18,-5/72
cumulative,0,3600000,227,17,1799,113,344,1342,-1/10,5/18,-29/72
cumulative,0,3600000,229,19,1781,112,324,1345,-11/90,-2/3,37/72
cumulative,0,3600000,233,23,1753,113,332,1308,-11/18,-7/18,-3/8
cumulative,0,3600000,239,29,1707,108,323,1276,-7/30,-1/18,-17/72
cumulative,0,3600000,241,1,1695,92,318,1285,223/90,7/3,55/72
cumulative,0,3600000,251,11,1628,103,307,1218,-2/9,-1/9,-1/6
cumulative,0,3600000,257,17,1597,99,303,1195,13/90,1/3,-11/72
cumulative,0,3600000,263,23,1561,100,292,1169,-13/30,-4/9,-7/72
cumulative,0,3600000,269,29,1530,94,291,1145,13/45,1/2,-5/36
cumulative,0,3600000,271,1,1519,94,274,1151,1/6,-4/9,47/72
cumulative,0,3600000,277,7,1488,96,281,1111,-8/15,-7/18,-5/18
cumulative,0,3600000,281,11,1467,93,277,1097,-7/30,-1/9,-13/72
cumulative,0,3600000,283,13,1457,92,277,1088,-1/6,1/18,-19/72
cumulative,0,3600000,293,23,1407,90,264,1053,-11/30,-1/3,-1/8
cumulative,0,3600000,307,7,1344,86,252,1006,-16/45,-1/3,-1/9
cumulative,0,3600000,311,11,1328,86,248,994,-8/15,-5/9,-1/9
cumulative,0,3600000,313,13,1322,81,250,991,13/45,7/18,-1/36
cumulative,0,3600000,317,17,1306,84,244,978,-19/45,-4/9,-1/12
cumulative,0,3600000,331,1,1255,75,235,945,11/18,5/9,5/24
cumulative,0,3600000,337,7,1234,74,233,927,5/9,11/18,1/12
cumulative,0,3600000,347,17,1203,76,227,900,-13/90,-1/18,-1/8
cumulative,0,3600000,349,19,1195,78,216,901,-53/90,-1,19/72
cumulative,0,3600000,353,23,1181,71,225,885,1/2,2/3,-1/24
cumulative,0,3600000,359,29,1159,72,218,869,7/90,1/9,-1/72
cumulative,0,3600000,367,7,1136,71,214,851,0,1/18,-1/18
cumulative,0,3600000,373,13,1118,69,212,837,7/45,5/18,-1/12
cumulative,0,3600000,379,19,1102,64,204,834,13/15,2/3,5/12
cumulative,0,3600000,383,23,1086,66,206,814,1/3,4/9,-1/36
cumulative,0,3600000,389,29,1069,67,201,801,-1/30,0,-1/24
cumulative,0,3600000,397,7,1049,63,201,785,41/90,2/3,-7/72
cumulative,0,3600000,401,11,1037,65,193,779,-1/30,-1/9,5/72
cumulative,0,3600000,409,19,1015,58,191,766,29/30,17/18,19/72
cumulative,0,3600000,419,29,988,62,184,742,-2/45,-1/9,1/18
cumulative,0,3600000,421,1,984,62,177,745,-4/45,-1/2,7/18
cumulative,0,3600000,431,11,962,60,182,720,1/45,1/9,-1/12
cumulative,0,3600000,433,13,959,61,180,718,-17/90,-1/6,-5/72
