d,e,target_d,source_pair_count,target_shell_size,fiber_size
180,4,360,24,1,24
180,5,180,24,1,24
180,6,360,16,1,16
180,8,360,24,1,24
180,9,180,16,1,16
180,10,360,12,1,12
180,12,360,8,1,8
180,15,180,8,1,8
180,18,360,8,1,8
180,20,360,6,1,6
180,24,360,8,1,8
180,30,360,4,1,4
180,36,360,4,1,4
180,40,360,6,1,6
180,45,180,4,1,4
180,60,360,2,1,2
180,72,360,4,1,4
180,90,360,2,1,2
180,120,360,2,1,2
180,180,360,1,1,1
180,360,360,1,1,1
360,1,360,96,1,96
360,2,360,48,1,48
360,3,360,32,1,32
360,4,360,24,1,24
360,5,360,24,1,24
360,6,360,16,1,16
360,8,360,24,1,24
360,9,360,16,1,16
360,10,360,12,1,12
360,12,360,8,1,8
360,15,360,8,1,8
360,18,360,8,1,8
360,20,360,6,1,6
360,24,360,8,1,8
360,30,360,4,1,4
360,36,360,4,1,4
360,40,360,6,1,6
360,45,360,4,1,4
360,60,360,2,1,2
360,72,360,4,1,4
360,90,360,2,1,2
360,120,360,2,1,2
360,180,360,1,1,1
360,360,360,1,1,1
